tconst	averageRating	numVotes
tt0000001	5.7	1864
tt0000002	6.0	244
tt0000003	6.5	1633
tt0000004	5.8	158
tt0000005	6.2	2459
tt0000006	5.2	164
tt0000007	5.5	766
tt0000008	5.4	2007
tt0000009	5.4	192
tt0000010	6.9	6726
tt0000011	5.3	343
tt0000012	7.4	11551
tt0000013	5.7	1782
tt0000014	7.1	5181
tt0000015	6.2	984
tt0000016	5.9	1389
tt0000017	4.6	305
tt0000018	5.3	559
tt0000019	5.2	30
tt0000020	4.8	330
tt0000022	5.1	1026
tt0000023	5.7	1345
tt0000024	4.4	86
tt0000025	4.3	39
tt0000026	5.7	1455
tt0000027	5.6	1083
tt0000028	5.1	997
tt0000029	5.9	3180
tt0000030	5.2	795
tt0000031	5.5	952
tt0000032	5.0	394
tt0000033	5.5	966
tt0000034	5.0	187
tt0000035	5.5	76
tt0000036	4.4	577
tt0000037	4.4	62
tt0000038	4.2	192
tt0000039	3.6	25
tt0000040	4.4	61
tt0000041	6.8	1713
tt0000042	4.2	36
tt0000043	3.6	31
tt0000044	4.1	42
tt0000045	4.1	31
tt0000046	4.2	33
tt0000047	3.7	33
tt0000048	4.9	175
tt0000049	5.1	46
tt0000050	4.2	33